id,subject_id,code,name,emoji,level,units,desc,prereqs,antireqs
1,1,201,Architecture and the Future of Cities,,2,3.00,"An introduction to architecture as a creative and technical endeavor that shapes the spaces and places in which we live. An examination of the purposes, intentions, processes, and products of architecture and how they can positively impact climate change, social equity, and quality of life. Students will develop an understanding of the social, cultural, historical, technological, economic, and natural contexts influencing the design of buildings and cities.",,
2,1,400,"Introduction to Architecture, Planning and Landscape Architecture",,4,3.00,"An examination of the central concepts of architecture, planning and landscape architecture delivered in an online format.",,
3,1,402,"Design, Digital Technology and the Built Environment",,4,3.00,"An introduction to the fundamental principles underlying modern digital technology-based systems, from a design of the built environment perspective. Topics include The Attention Economy, Big Data, Surveillance Capitalism, Ambient Intelligence, the Internet of Things, Opaque and Transparent Algorithms, Biocreepiness, and Systems Thinking. No specific technical background is required. Participants will complete a design project on a topic of personal interest.",,
4,1,404,Architecture and Life Cycle Thinking: Climate Change and Beyond,,4,3.00,"An introduction to strategies for comparing building and product performance in relation to environmental impacts and contributions to climate change. Concepts of circular economy, life cycle analysis, embedded energy, recycling/reuse of building materials are explored through the lenses of resource depletion, carbon and water footprints and waste generation.",Architecture 201 or Architectural Studies 201.,Architecture 201 or Architectural Studies 201.
5,1,406,Design Thinking in the Built Environment Studio I,,4,3.00,"A foundational introduction to design thinking as applied to the built environment of buildings, cities, and landscapes. Students will complete a series of experiential learning exercises that emphasize three-dimensional thinking and problem-solving skills. The course is offered in a studio environment, which along with the course-work, will provide valuable experience to develop a portfolio.",Architecture 201 or Architectural Studies 201.,Architecture 201 or Architectural Studies 201.
6,1,408,Design Thinking in the Built Environment Studio II,,4,3.00,"A capstone project-based course that builds on the skills acquired in Architectural Studies 431. Students will work in small groups to develop, research, execute, and present a small design thinking project based in Calgary. The course is offered in a studio environment.",Architecture 406 or Architectural Studies 431.,Architecture 406 or Architectural Studies 431.
7,1,500,Sustainability in the Built Environment,,5,3.00,"The principle of sustainability recognizes people as temporary stewards of their environments, working toward a respect for natural systems and a higher quality of life. Examination of the built environment and the tools to achieve a stable and balanced and a regenerative ecosystem in a process of responsible consumption, wherein waste is minimized and the built environment interacts with natural environments and cycles. Healthful interior environments, resource efficiency, ecologically benign materials, renewable energies and social justice issues are examined.",Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
8,1,502,History of Architecture and Human Settlements I - Premodern Traditions of the World,,5,3.00,A survey history of architecture and human settlement addressing the premodern traditions of the major world cultures. The course will examine the changes in world view that have altered the course of architecture through the study of selected works of architecture and urbanism.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
9,1,504,Graphics Workshop I,,5,3.00,"A skill building course with instruction and supervised experience in basic drafting, sketching and rendering; principles of perspective, drawing and presentation conventions. A variety of instruction may be offered to accommodate the varied level of student development.",Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
10,1,506,Studio I in Architecture,,5,6.00,"A studio that explores the foundation concepts in architectural design and form making involving a sequence of progress skill building, visual and spatial thinking and problem-solving exercises.",Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
