id,faculty_id,code,name,emoji,site
1,1,ARCH,Architecture,,architecture.html
2,1,APLA,"Architecture, Planning and Landscape",,architecture-planning-and-landscape.html
3,1,LAND,Landscape Architecture,,landscape-architecture.html
4,1,PLAN,Planning,,planning.html
5,1,SUST,Sustainability Studies,,sustainability-studies-sust.html
6,2,ACWR,Academic Writing,,academic-writing.html
7,2,AFST,African Studies,,african-studies.html
8,2,ASL,American Sign Language,,american-sign-language.html
9,2,ANTH,Anthropology,,anthropology.html
10,2,ALMC,Arabic Language and Muslim Cultures,,arabic-language-and-muslim-culture.html
11,2,ARKY,Archaeology,,archaeology.html
12,2,ART,Art,,art.html
13,2,ARHI,Art History,,art-history.html
14,2,ARTS,Arts,,arts-course.html
15,2,ASHA,Arts and Science Honours Academy,,arts-and-science-honours-academy.html
16,2,CNST,Canadian Studies,,canadian-studies.html
17,2,CEST,Central and East European Studies,,central-and-east-european-studies.html
18,2,CHIN,Chinese,,chinese.html
19,2,CMCL,Communication and Culture,,communication-and-culture.html
20,2,COMS,Communication and Media Studies,,communication-media-studies.html
21,2,DNCE,Dance,,dance.html
22,2,DRAM,Drama,,drama.html
23,2,EASC,Earth Science,,earth-science.html
24,2,EALS,East Asian Language Studies,,east-asian-language-studies.html
25,2,EAST,East Asian Studies,,east-asian-studies.html
26,2,ECON,Economics,,economics.html
27,2,ENGL,English,,english.html
28,2,FILM,Film,,film.html
29,2,FREN,French,,french.html
30,2,GEOG,Geography,,geography.html
31,2,GSXS,Gender and Sexuality Studies,,gender-sexuality-studies.html
32,2,GERM,German,,german.html
33,2,DEST,Global Development Studies,,global-development-studies.html
34,2,GREK,Greek,,greek.html
35,2,GRST,Greek and Roman Studies,,greek-and-roman-studies.html
36,2,HTST,History,,history.html
37,2,INDL,Indigenous Languages,,indigenous-languages-indl.html
38,2,INDG,Indigenous Studies,,indigenous-studies.html
39,2,INNO,Innovation,,innovation.html
40,2,INTR,International Relations,,international-relations.html
41,2,ITAL,Italian,,italian.html
42,2,JPNS,Japanese,,japanese.html
43,2,LANG,Language,,language.html
44,2,LATI,Latin,,latin.html
45,2,LAST,Latin American Studies,,latin-american-studies.html
46,2,LWSO,Law and Society,,law-and-society.html
47,2,LING,Linguistics,,linguistics.html
48,2,MHST,Museum and Heritage Studies,,museum-and-heritage-studies.html
49,2,MUSI,Music,,music.html
50,2,MUED,Music Education,,music-education.html
51,2,MUPF,Music Performance,,music-performance.html
52,2,PHIL,Philosophy,,philosophy.html
53,2,POLI,Political Science,,political-science.html
54,2,PSYC,Psychology,,psychology.html
55,2,RELS,Religious Studies,,religious-studies.html
56,2,ROST,Romance Studies,,romance-studies.html
57,2,RUSS,Russian,,russian.html
58,2,SCPA,School of Creative and Performing Arts,,school-of-creative-and-performing-arts.html
59,2,SLAV,Slavic,,slavic.html
